first_name,last_name,dob,company_id,last_active,score,member_since,state
Rebecca,Baker,8/7/1967,3,4/25/2018,40,2006,PA
Jennifer,Brown,1/18/1991,15,2/16/2018,77,2012,CO
Anthony,Blake,9/15/1959,17,9/13/2018,93,2005,KY
Frederick,Santiago,4/19/1965,5,4/20/2018,77,1998,NC
Brenda,Ward,3/28/1982,1,4/16/2018,90,1979,SC
Michael,Hernandez,7/17/1996,18,9/26/2018,45,2014,NM
Johnny,Garcia,3/9/1970,2,10/12/2018,50,1993,KS
James,Wilson,9/18/1994,10,3/1/2018,94,1987,CA
Cindy,Davenport,2/12/1973,2,1/14/2018,46,1999,DC
James,Bender,2/25/1998,8,1/18/2018,99,1976,LA
Michael,Hardin,8/16/1987,10,10/12/2018,33,1986,WA
Kendra,Leonard,1/14/1987,3,7/21/2018,96,1983,ID
Allen,Mcmillan,4/7/1969,13,9/11/2018,33,1981,WV
Allison,Petersen,12/11/1960,12,3/26/2018,33,2018,LA
Charles,Beasley,7/8/1976,3,2/28/2018,71,2001,LA
James,Wagner,2/28/1961,4,4/22/2018,87,2000,LA
Raymond,Smith,2/9/1994,17,8/7/2018,34,1993,ME
James,Martinez,2/9/1971,4,3/19/2018,58,2003,MT
Phillip,Davis,5/26/1986,10,8/24/2018,43,2005,AK
Sean,Ochoa,6/9/1973,4,11/4/2018,75,1975,CA
Michelle,Mitchell,7/15/1980,19,7/17/2018,51,2009,NV
Brandy,Lambert,4/1/1966,3,8/13/2018,94,2002,MI
Alexandria,Walker,6/20/1982,20,12/27/2018,69,2018,VT
Matthew,Lopez,7/25/1991,19,10/20/2018,90,2016,DE
Barbara,Gonzalez,1/24/1988,5,7/7/2018,61,2006,IL
Jeffrey,Lowe,3/15/1976,5,6/2/2018,70,1999,DC
Courtney,Silva,7/8/1991,2,7/6/2018,58,1975,NH
Lisa,Smith,4/4/1990,0,12/8/2018,47,1983,AR
Michael,Phillips,5/6/1980,18,11/27/2018,72,2000,ND
Shelly,Pham,6/10/1988,8,2/1/2018,49,1996,WI
April,Underwood,1/3/1965,13,1/20/2018,31,1974,NC
Misty,Patterson,6/23/1998,9,12/16/2018,47,2012,AZ
Riley,Graham,11/19/1961,2,6/17/2018,35,1979,NY
Rebecca,Vazquez,2/9/1961,16,2/13/2018,46,2011,AK
Taylor,Oliver,7/21/1971,10,6/29/2018,75,1987,AL
Michael,Allen,4/11/1987,10,10/1/2018,45,1988,IL
Chelsea,Sparks,8/25/1966,12,5/9/2018,98,2007,WV
Hayden,Carter,9/23/1968,3,3/30/2018,69,2005,OK
Monica,Weaver,12/23/1977,17,9/19/2018,84,1994,DE
Travis,Brown,11/20/1986,20,1/25/2018,30,2000,DC
Timothy,Garcia,7/12/1963,18,8/16/2018,97,1980,IA
Christopher,Stout,10/8/1968,1,9/1/2018,56,1995,KS
Melissa,Stewart,4/24/1983,16,12/22/2018,74,1998,AK
Richard,Santiago,8/8/1974,4,11/28/2018,43,1989,WI
Lauren,Stone,10/19/1985,1,7/14/2018,48,2003,MD
Louis,Davis,1/15/1959,12,4/15/2018,91,1972,TX
Brendan,King,8/15/1993,2,1/4/2019,78,1978,NC
Richard,Horn,12/11/1971,3,1/17/2018,58,1971,VA
Dakota,Jenkins,2/8/1966,19,8/21/2018,42,2001,NY
Steven,Sanchez,10/4/1961,4,3/13/2018,69,2010,SC
Leslie,Williams,11/11/1993,15,5/15/2018,55,1999,NV
Anna,Quinn,5/5/1980,7,6/20/2018,89,2001,MT
Cindy,Hart,6/19/1984,11,3/20/2018,57,1979,LA
Joe,Fisher,7/21/1989,0,7/7/2018,91,2012,TN
Seth,Knight,5/24/1966,9,8/26/2018,69,2008,NC
Christine,Young,11/11/1965,6,12/19/2018,85,1973,WY
Harold,Martinez,3/31/1974,9,12/11/2018,78,1976,WV
Jonathan,Andersen,7/6/1965,4,12/28/2018,33,2015,RI
Susan,Garza,1/20/1996,15,11/2/2018,32,1972,NH
John,Jones,8/20/1985,16,3/23/2018,45,1971,GA
Joshua,Davis,2/15/1998,9,1/25/2018,62,1987,ND
Rachel,Edwards,1/7/1998,20,11/8/2018,98,2018,LA
Charles,Turner,6/15/1964,16,6/7/2018,94,1999,SD
William,Baker,1/31/1986,12,3/11/2018,30,2004,RI
Elizabeth,Walter,2/24/1970,17,11/6/2018,58,2004,UT
Ellen,Evans,2/14/1984,7,9/30/2018,81,2010,AK
Jessica,Frazier,11/10/1988,16,6/16/2018,37,1998,OH
Deborah,Williams,6/12/1989,14,4/12/2018,50,1987,IN
Eugene,Smith,2/22/1985,13,5/6/2018,37,2011,ID
Melanie,Williams,8/28/1990,0,6/14/2018,40,2008,LA
Darren,Sanchez,3/10/1993,3,1/26/2018,99,1989,HI
Amber,Holmes,3/13/1995,20,6/5/2018,82,1999,OR
Nicholas,Hanson,2/15/1977,3,11/10/2018,47,1990,IN
Deborah,Soto,8/14/1981,1,12/1/2018,54,1996,AZ
Brandon,Perkins,7/8/1977,18,4/25/2018,59,1983,KS
Stanley,Blanchard,1/16/1977,17,3/8/2018,87,1998,PA
Andrea,Brown,4/27/1992,1,5/30/2018,87,2012,MN
David,Martinez,3/24/1983,15,11/14/2018,69,1972,NC
Michelle,Sandoval,5/7/1968,15,1/2/2019,94,1990,FL
Katherine,Martinez,9/28/1984,12,7/22/2018,63,1980,GA
Amanda,Hill,2/9/1993,16,10/27/2018,58,1985,GA
Judy,Williams,6/20/1976,19,6/9/2018,66,1990,NV
Alejandro,Silva,9/14/1995,0,12/12/2018,48,1997,OH
Rachel,Webb,1/25/1988,14,8/26/2018,81,1989,ID
Jessica,Downs,3/10/1970,13,9/25/2018,95,1991,MO
Crystal,Bryan,5/1/1964,2,10/9/2018,52,1996,NV
Marc,Mejia,3/11/1969,12,4/14/2018,82,1994,NE
Alyssa,Martinez,6/30/1984,19,5/28/2018,58,2016,MD
Danny,Copeland,5/12/1975,19,4/2/2018,71,2011,NM
Daniel,Johnson,4/9/1966,16,2/20/2018,55,1997,NE
Teresa,Garcia,7/9/1975,3,3/9/2018,74,2007,AL
Ashley,Rivera,10/3/1990,3,7/13/2018,44,1970,OR
Brian,Martinez,9/5/1976,3,6/10/2018,71,1982,TX
Elizabeth,Jones,4/2/1977,16,9/18/2018,75,1992,MT
Jennifer,Steele,5/14/1990,12,7/8/2018,74,1991,OH
Margaret,Freeman,11/16/1967,8,6/14/2018,56,1992,ND
Morgan,Evans,6/6/1998,19,3/7/2018,67,1991,CO
Nathan,Gonzalez,11/16/1971,14,6/5/2018,32,1981,NH
James,Clark,12/20/1985,13,10/5/2018,56,1978,SC
Wesley,Anderson,1/14/1976,13,3/13/2018,95,1975,HI
Michael,Cordova,4/14/1961,0,12/8/2018,81,1975,RI
Nathan,Brown,12/2/1983,4,3/28/2018,96,1985,ID
Jacqueline,Wilson,1/19/1982,3,2/25/2018,69,1997,MT
Cassandra,Jones,3/8/1986,18,12/24/2018,38,2009,DC
Tony,Woods,12/23/1966,19,9/5/2018,64,1992,SC
Joseph,Chen,4/23/1960,12,11/13/2018,67,2014,WI
Catherine,Adkins,3/26/1966,14,8/10/2018,65,2012,VT
Miguel,Smith,11/24/1974,8,10/30/2018,63,1973,SC
Francisco,Vasquez,12/13/1992,19,12/26/2018,55,2015,NM
Carrie,Garcia,9/11/1964,17,7/8/2018,52,1971,DE
Gina,Clark,6/4/1989,19,2/12/2018,64,1975,NV
Victor,Williams,3/6/1984,14,8/3/2018,69,2018,WY
William,Reid,3/6/1964,9,12/27/2018,72,1996,WI
Kimberly,Williams,4/27/1987,13,6/15/2018,91,1975,SC
Samantha,Reed,1/28/1989,4,12/7/2018,93,2014,DC
Lindsey,Morris,8/1/1969,0,10/3/2018,70,2010,MA
Hannah,Robinson,4/24/1982,15,9/19/2018,83,1999,DE
Jennifer,Thompson,11/16/1985,12,6/15/2018,75,2008,CT
Tammy,Jones,1/24/1973,7,11/30/2018,70,2010,LA
Theresa,Stark,10/22/1959,7,3/29/2018,33,2002,MS
Shelly,Torres,3/31/1969,18,11/29/2018,46,2011,MA
Brooke,Mason,7/18/1966,19,2/24/2018,36,2011,NC
Denise,Peters,8/14/1970,17,3/7/2018,48,2008,NM
Samuel,Martin,5/11/1987,10,4/15/2018,60,1977,GA
Joseph,Wallace,8/19/1993,2,5/14/2018,85,1990,HI
Lori,Ward,8/4/1976,19,9/27/2018,57,2006,NE
Juan,Nixon,12/28/1990,15,3/23/2018,54,2000,SC
Diana,Farrell,8/14/1973,16,5/14/2018,87,1995,ME
Jennifer,Glass,3/18/1981,18,2/13/2018,70,1984,HI
Christopher,Jones,5/17/1974,8,6/10/2018,67,2013,MD
Patricia,King,10/25/1980,4,3/30/2018,45,2009,CA
Justin,Nguyen,10/11/1995,15,6/2/2018,93,2008,WY
Kenneth,Gibson,10/24/1988,1,9/10/2018,65,1976,CO
Jennifer,Mitchell,1/20/1963,17,5/27/2018,32,2009,ND
Christian,Grimes,1/20/1988,8,6/22/2018,94,2009,MD
Amanda,Freeman,11/13/1974,17,4/17/2018,42,1975,OK
James,Hart,10/14/1966,16,7/25/2018,49,1999,DE
David,Martin,6/23/1984,8,7/21/2018,44,1999,DE
Terri,White,9/2/1968,9,1/12/2018,84,1987,UT
Luis,Nelson,8/7/1961,13,2/9/2018,38,2005,CA
Amanda,Smith,6/16/1972,11,4/29/2018,71,2003,UT
Tina,Torres,4/2/1977,10,8/18/2018,62,2008,PA
Michael,Russell,7/22/1994,7,12/23/2018,90,2011,AL
Sharon,Miller,7/10/1992,2,9/26/2018,70,2001,IN
Robert,Williams,10/31/1959,10,5/15/2018,85,2004,DC
Tiffany,Robinson,8/29/1987,6,5/23/2018,43,1972,NH
Nina,Baldwin,10/13/1989,9,2/3/2018,94,2008,MI
Jasmine,Beasley,4/29/1959,6,5/29/2018,66,2015,CA
Raymond,Norman,8/3/1965,13,7/22/2018,47,1973,NJ
Teresa,Stevens,4/29/1972,12,6/21/2018,73,2010,OR
Danielle,Reynolds,7/9/1971,8,2/26/2018,35,1993,TX
Gerald,Wilson,12/11/1964,1,2/2/2018,68,1971,MS
Paige,Carroll,6/30/1972,19,2/18/2018,78,2000,NJ
Jacob,Robinson,1/8/1963,7,3/23/2018,67,1971,KY
Stephanie,Chan,2/5/1978,4,8/30/2018,59,1974,MD
Matthew,Snyder,3/22/1992,9,4/17/2018,92,1983,MO
Thomas,Carrillo,3/24/1982,18,2/23/2018,79,1972,CO
Linda,Greene,10/28/1984,15,2/28/2018,80,1984,PA
Carol,Holder,6/7/1987,5,4/26/2018,31,2005,IL
Andrew,Miller,12/25/1977,11,10/31/2018,89,1990,IL
Amy,Le,1/19/1981,0,9/11/2018,51,1970,MS
Alexander,Wells,1/14/1979,5,10/2/2018,70,1979,ME
Derek,Wood,9/21/1960,12,5/5/2018,90,1991,ME
John,Scott,8/2/1967,16,8/11/2018,71,1971,IA
Joshua,Green,4/4/1965,2,5/16/2018,43,2017,UT
Phillip,Nicholson,12/9/1963,15,4/6/2018,77,1992,TN
Emily,Watson,8/2/1988,7,5/24/2018,36,2013,OH
Ashlee,Ellison,10/2/1987,3,5/31/2018,60,1994,IN
Timothy,Petersen,7/24/1993,14,2/25/2018,50,1973,NH
Edgar,Hernandez,10/20/1995,16,1/11/2018,96,2015,UT
Michael,Collins,1/21/1996,5,2/18/2018,61,2008,IN
Stephanie,Holland,2/28/1965,13,6/7/2018,40,1995,DE
Janice,Reed,7/1/1990,13,3/26/2018,40,1972,MS
Amy,Ford,5/23/1990,14,7/29/2018,50,1979,OR
Sarah,Johnson,1/2/1963,11,3/15/2018,80,1976,OH
David,Henderson,8/5/1987,12,10/8/2018,44,1992,CO
Hannah,Davis,6/3/1970,10,10/4/2018,41,1997,MO
John,Lane,8/27/1971,9,5/7/2018,39,2004,NM
Sara,Gibson,11/16/1983,11,3/22/2018,34,1996,CT
David,Mckenzie,1/14/1995,18,10/30/2018,85,1975,WA
April,Melton,7/5/1978,6,1/29/2018,77,1973,VA
Alexandra,Burke,9/25/1997,0,6/14/2018,60,2002,MT
Carrie,Smith,1/20/1984,15,9/10/2018,88,1986,TX
Brandon,Stone,10/21/1993,2,7/4/2018,68,1984,MI
Leslie,Mcgrath,6/19/1975,20,3/17/2018,89,2006,IL
Monica,Hull,7/8/1973,17,3/18/2018,70,1990,OK
Rachel,Webster,12/8/1979,2,10/19/2018,47,1998,ME
Shawn,Jacobs,2/8/1982,14,3/13/2018,69,1996,DC
Robert,Cohen,4/8/1995,15,10/10/2018,75,2005,OH
Deanna,Mays,2/26/1980,15,12/21/2018,33,1995,SD
Karla,Clark,10/6/1964,19,11/13/2018,40,2004,MA
Shane,Bryant,5/7/1974,19,1/9/2018,35,1990,MO
John,Richards,4/4/1974,6,6/11/2018,61,1985,DC
Anita,Cook,4/9/1971,14,8/20/2018,49,2003,CO
Rebecca,Johnson,8/2/1971,0,2/25/2018,88,1988,MA
Brandi,Rogers,9/3/1966,12,6/4/2018,44,2009,MI
James,Castillo,5/26/1979,14,11/20/2018,51,1987,MI
Kayla,Murillo,10/8/1973,20,12/4/2018,89,1970,AR
Sheila,Smith,8/23/1993,11,9/7/2018,91,1976,DE
Kimberly,Simmons,12/19/1976,15,1/13/2018,37,2002,MO
Henry,Jones,10/21/1966,15,7/2/2018,59,2000,TX
Donald,Wolf,8/25/1981,15,4/30/2018,59,1973,OK
Amy,Martin,9/21/1993,1,2/24/2018,78,1995,LA
Stephen,Turner,10/26/1968,3,2/8/2018,63,1989,ME
Stephanie,Aguirre,4/2/1981,1,4/18/2018,87,1996,NJ
Adam,Nguyen,5/26/1985,15,10/4/2018,74,2008,OR
Ashley,Delgado,7/13/1977,13,9/2/2018,97,2003,MS
Kelly,Nguyen,10/11/1970,10,2/1/2018,81,1983,MO
David,Harrison,10/12/1997,15,8/29/2018,31,1996,NJ
Kari,Roberts,12/29/1965,5,7/6/2018,30,1979,KY
Bryan,Richardson,12/15/1982,14,5/13/2018,69,2000,DE
Lydia,Santana,4/28/1987,5,10/28/2018,72,1997,MS
William,Weber,2/26/1972,2,7/2/2018,98,1981,AL
Rick,Tyler,7/26/1994,14,3/14/2018,34,2017,NY
Patrick,Hill,8/2/1973,19,6/9/2018,33,1981,SC
Michael,Sullivan,12/21/1961,13,5/17/2018,85,2011,WA
Lisa,Thomas,6/20/1991,2,8/2/2018,35,2018,ID
William,Gibson,7/25/1998,14,3/1/2018,78,2005,ID
Catherine,Bond,6/6/1974,0,3/21/2018,99,2010,MO
Ronald,Ramos,10/9/1978,1,2/14/2018,79,1981,MO
Bethany,Marshall,4/17/1996,17,3/10/2018,85,2015,OH
Katie,Knight,5/16/1978,6,9/16/2018,72,2017,CT
Angela,Elliott,5/21/1977,11,6/25/2018,84,2011,FL
Lisa,Christensen,4/25/1998,10,7/13/2018,59,2017,SD
Jean,Sosa,7/2/1992,1,9/20/2018,55,2014,CA
Anthony,Gordon,11/2/1961,12,10/7/2018,35,1980,NY
Jerry,Owens,6/26/1969,12,11/27/2018,41,2001,WY
Christopher,Johnson,7/6/1993,3,3/30/2018,77,2012,NV
Nicholas,Jensen,3/30/1986,19,2/20/2018,66,1979,SC
Crystal,Sherman,2/14/1962,5,1/15/2018,65,2018,HI
Charles,Griffin,10/25/1969,7,3/9/2018,35,2001,IL
Linda,Rodriguez,5/16/1985,17,5/4/2018,41,1980,NH
Kevin,Montes,8/6/1973,19,8/30/2018,46,2016,MT
David,Moran,9/30/1984,14,6/19/2018,97,2014,LA
Roberto,Oneal,3/20/1995,9,6/26/2018,64,1992,GA
Kaylee,Henry,11/30/1960,18,5/12/2018,50,1971,WY
Valerie,Madden,10/8/1998,3,5/30/2018,46,1974,NH
Nicole,Le,4/11/1984,4,12/1/2018,71,2017,CO
Lauren,Flowers,9/13/1983,5,7/17/2018,85,1989,TX
Susan,Morse,2/28/1972,16,3/4/2018,45,2002,MN
Travis,Baldwin,10/3/1997,14,5/4/2018,50,2007,SD
Ronald,Johnson,1/3/1982,10,8/7/2018,32,2015,KY
Renee,Perez,3/31/1998,18,1/20/2018,56,2005,IL
James,Lee,9/11/1967,11,4/30/2018,96,1986,HI
April,Ingram,5/9/1989,0,8/22/2018,99,1972,TX
Kevin,Madden,12/26/1991,6,5/24/2018,88,1972,NM
Melinda,Reid,10/28/1993,14,1/6/2019,90,1971,OR
Christine,Roberts,6/19/1973,2,8/20/2018,55,1990,CO
Jacqueline,Wilson,10/4/1988,16,5/8/2018,47,2004,GA
William,Gonzalez,5/2/1984,15,3/23/2018,53,2005,IL
Sarah,Myers,5/10/1988,4,10/24/2018,58,1992,OR
Martin,Haynes,4/29/1973,2,1/18/2018,33,1974,WA
Victor,Blair,5/4/1989,0,12/26/2018,72,1988,GA
Steven,Spencer,10/28/1965,16,4/18/2018,77,1998,NY
Gary,Brown,7/15/1986,1,3/31/2018,42,1977,MA
Joanna,Edwards,10/11/1995,17,7/4/2018,64,2015,CT
Eduardo,Barnett,2/15/1963,5,1/22/2018,57,2008,AK
Sheena,Mendoza,3/29/1995,10,4/3/2018,82,2004,ND
Susan,Munoz,6/29/1979,6,7/26/2018,48,2008,TX
Jonathan,Golden,2/8/1964,1,2/11/2018,56,2005,MN
Brian,Anderson,5/13/1978,5,8/30/2018,96,1972,MN
Valerie,Mendoza,10/28/1998,3,1/15/2018,56,1974,DE
Katherine,Horton,3/28/1984,1,2/12/2018,54,2016,MO
Paul,Diaz,1/2/1961,4,1/21/2018,83,2016,IA
Robert,Potts,11/16/1983,19,9/17/2018,91,2011,TX
Michael,Villegas,8/24/1980,19,5/4/2018,64,1972,CT
Ashley,Burton,11/5/1985,18,12/18/2018,91,2001,KY
Rebecca,Castillo,1/13/1991,14,12/30/2018,49,1975,TX
Stephanie,Duncan,5/18/1962,1,2/27/2018,62,1987,IL
David,Singh,7/16/1961,6,5/2/2018,93,1992,SC
Ashley,Valentine,10/8/1960,18,1/18/2018,65,2002,IN
Christopher,Rodriguez,10/20/1976,20,12/2/2018,99,1992,CA
Lisa,Stewart,6/11/1969,15,12/14/2018,76,2011,MI
Lisa,Craig,7/13/1975,3,11/24/2018,38,1992,NV
Timothy,Garcia,2/9/1998,16,1/10/2018,63,1999,LA
Sarah,Olson,2/17/1965,9,4/18/2018,98,1976,TN
Nichole,Flowers,1/26/1971,7,11/30/2018,97,1982,WI
Jennifer,Brown,10/29/1965,6,12/12/2018,39,1998,MI
Michelle,Sanford,5/1/1972,2,2/23/2018,38,1970,TN
Mary,George,10/2/1977,3,12/13/2018,99,2014,OH
Steven,Campbell,9/12/1966,14,1/14/2018,70,2010,PA
Laura,Erickson,2/1/1959,19,9/7/2018,53,1993,ME
Randy,Jones,7/7/1975,5,12/16/2018,30,2004,SD
Christian,Cruz,6/12/1964,9,3/29/2018,66,1992,HI
John,Lee,10/25/1996,16,2/19/2018,77,2016,ME
Sara,Holloway,10/29/1961,12,11/12/2018,58,1978,RI
Douglas,Dillon,5/19/1986,8,2/19/2018,75,2004,PA
Terri,Livingston,12/29/1966,20,8/20/2018,66,2011,PA
John,Mitchell,5/4/1963,5,9/25/2018,30,2016,PA
Danielle,Lin,10/25/1989,7,10/25/2018,60,2005,RI
Chase,Larson,4/1/1959,15,8/6/2018,44,1983,UT
Holly,Hamilton,11/10/1991,16,3/19/2018,77,1982,NC
Marc,Lucas,10/12/1992,18,9/8/2018,61,2015,IL
Joshua,Huffman,5/8/1967,17,6/26/2018,39,1973,VT
Barbara,Peterson,10/24/1965,18,2/18/2018,77,1981,OR
Melissa,Clark,9/20/1980,1,5/4/2018,95,2001,AZ
Julie,Austin,1/20/1974,16,11/12/2018,42,1973,KS
William,Romero,8/24/1967,10,2/19/2018,71,1998,MD
Latasha,Mccoy,10/3/1997,1,4/28/2018,58,1982,HI
Megan,Wagner,4/6/1975,17,12/21/2018,62,1975,VT
Anna,Dyer,10/1/1976,7,1/20/2018,69,2018,TN
Kenneth,Miller,1/22/1993,10,2/19/2018,90,2017,WY
Kimberly,Gomez,8/9/1959,11,5/7/2018,45,1973,KY
William,Martin,8/7/1990,1,12/17/2018,31,1971,HI
Douglas,Graham,7/22/1961,15,2/18/2018,76,2007,AZ
Charles,Johnston,1/7/1969,18,4/10/2018,45,2018,AL
Nicole,Duarte,6/29/1984,12,3/13/2018,65,2017,MS
Tyler,Moore,5/30/1961,9,11/10/2018,44,2015,NV
Matthew,Jenkins,5/11/1987,11,1/11/2018,72,1993,PA
Amanda,Ward,11/13/1997,4,4/27/2018,83,1977,WI
Adam,Long,9/10/1967,19,4/19/2018,91,1978,MT
Alan,Carey,3/31/1974,20,7/19/2018,83,1986,NH
Meghan,Lambert,7/17/1974,7,6/19/2018,75,1975,HI
Frank,Price,7/10/1962,16,9/4/2018,85,2011,TX
Angela,Christian,8/1/1982,10,7/10/2018,34,2009,AL
Karen,Morales,12/22/1994,18,1/4/2019,92,1978,AK
Kathryn,Jones,8/6/1961,2,8/16/2018,44,1993,NY
Gloria,Bryant,6/5/1992,12,1/20/2018,50,2000,FL
James,Arnold,6/8/1983,3,9/2/2018,59,2010,AZ
Kyle,Lewis,12/16/1959,4,7/28/2018,95,1980,NC
Anthony,Moore,10/12/1964,14,10/15/2018,68,1991,NC
Arthur,White,5/9/1987,12,8/16/2018,48,2003,DE
Tracy,Patel,7/18/1969,6,5/28/2018,41,2018,VT
Lori,Smith,10/16/1976,13,5/3/2018,32,1978,MD
Jeffery,Blankenship,3/27/1993,16,7/11/2018,52,1977,VA
Michael,Wilson,12/23/1996,17,2/9/2018,76,1970,MS
Jennifer,Henson,2/25/1967,16,12/25/2018,72,2018,AR
Joshua,Mcdaniel,5/15/1987,20,3/23/2018,58,1985,OK
Ricardo,Glenn,1/28/1989,5,9/25/2018,39,2013,ID
Eric,Lloyd,1/27/1962,6,7/15/2018,39,1997,WV
Sean,Williams,3/13/1965,14,2/15/2018,46,1988,NM
David,Johnson,5/13/1964,4,5/27/2018,67,1977,NY
David,Owens,4/4/1991,2,9/26/2018,34,2001,AL
Virginia,Cochran,9/15/1965,5,3/26/2018,71,1981,IA
Megan,Carter,8/22/1972,13,11/15/2018,86,2011,IN
Danielle,Turner,10/5/1982,13,2/16/2018,37,2005,AK
Lindsay,Goodwin,5/16/1974,6,4/24/2018,48,2009,AR
Michael,Hayes,8/18/1960,1,6/30/2018,51,2013,NJ
Daniel,Lara,3/29/1977,19,7/18/2018,96,1984,KY
Jamie,Johnson,8/21/1989,9,6/24/2018,58,1998,SC
Matthew,Campbell,2/6/1969,0,7/30/2018,44,2009,NH
Mia,Robbins,1/2/1990,16,7/17/2018,99,2014,WY
Marie,Richardson,5/5/1980,15,6/3/2018,76,2011,TN
Andrew,Jenkins,1/10/1959,3,1/3/2019,90,1973,LA
Ashley,Schmidt,2/24/1981,12,4/28/2018,51,1972,IN
Holly,Cervantes,12/20/1991,8,11/26/2018,88,2001,NC
Roger,Edwards,11/17/1965,13,6/14/2018,40,1975,UT
Miranda,Hernandez,10/13/1985,5,6/15/2018,80,2006,CT
Randy,Howell,5/7/1988,8,9/7/2018,91,1977,MD
Sonya,Bell,6/10/1961,17,11/2/2018,36,2013,DE
Bonnie,Jones,4/9/1996,20,11/18/2018,65,2000,NV
Roy,Wells,7/16/1976,15,4/19/2018,60,2005,MI
Mary,Baker,9/6/1994,3,10/4/2018,79,1994,AK
Logan,Shaw,6/22/1983,11,9/26/2018,49,1991,NH
Brittney,Clark,8/24/1974,3,11/29/2018,57,1972,KY
Charles,Garcia,9/21/1959,1,2/17/2018,64,1980,HI
Jill,Norris,8/30/1965,4,7/20/2018,56,1983,VA
Tracy,Todd,5/3/1998,8,4/5/2018,44,1988,TN
Keith,Novak,11/14/1960,14,5/11/2018,97,2002,TX
Stanley,Williams,5/22/1981,15,6/7/2018,88,2008,NY
Brett,Sanders,11/12/1967,15,1/21/2018,91,2009,OR
Raven,Jenkins,6/25/1992,7,11/16/2018,73,2014,HI
Karen,Castaneda,9/15/1962,4,8/7/2018,33,1994,MI
Sally,Zimmerman,12/9/1962,10,8/1/2018,94,1991,VT
Jennifer,Mcconnell,5/5/1991,17,2/3/2018,40,2002,NM
Brittney,Morgan,3/29/1978,16,12/27/2018,79,1983,NH
Justin,Mckee,3/5/1988,8,8/12/2018,66,2011,WV
Stacy,Horn,4/23/1980,7,2/14/2018,45,1970,MO
Sandra,Torres,1/31/1962,2,8/31/2018,75,1983,TX
Jennifer,Beck,12/31/1994,1,12/24/2018,53,1973,NV
Scott,Cunningham,8/24/1990,3,1/21/2018,72,1970,AZ
Barbara,Clark,4/23/1965,10,7/6/2018,83,2014,SD
Bruce,Ward,10/4/1982,9,1/22/2018,58,1970,MS
Laura,Anthony,11/19/1965,17,4/3/2018,33,1999,AR
Mackenzie,Sanders,4/27/1996,13,9/22/2018,88,2016,WY
Tina,Kane,6/3/1969,7,4/8/2018,47,2005,WY
Karen,Stanley,8/7/1976,20,3/17/2018,53,1992,OK
Stacey,Hogan,7/16/1994,16,8/27/2018,71,1984,MD
Shawn,Warner,1/28/1996,8,10/11/2018,79,1983,NY
Traci,Bean,1/18/1964,0,10/8/2018,84,1985,KY
Sarah,Mcclure,3/5/1979,4,3/4/2018,32,1983,DC
Lauren,Taylor,6/6/1965,20,10/14/2018,83,2003,LA
